Date d'envoi du CV et de la lettre,Nom de l'entreprise,Adresse de l'entreprise,Lien d'affichage du stage/poste,CV et lettre remis en main propre,Titre du poste,Nom du contact,Numéro de téléphone,Adresse courriel,Réponse/Relance/informations supplémentaires, Autre liens site
2025-11-26,12,Sherbrooke,,Pamplemousse,,,Montreal,fruit,"""qwerty"", ""2025-11-26""",Delifruit Enterprise
2025-11-26,23,Sherbrooke,,Roboi,,,Montreal,carton,"""Organisme"", ""2025-11-26""",Delifruit Enterprise
2025-11-26,21,Sherbrooke,,Rembond,,,Montreal,Taud,"""Ordinaut"", ""2025-01-23""",Delifruit Enterprise
2025-11-26,21,Sherbrooke,,Framboise,,,Montreal,fruit,"""Organisme"", ""2012-12-01""",Delifruit Enterprise
2025-11-26,"12.00, ""CAD""",Sherbrooke,,Erg,,,Montreal,iii,"""Organisme"", ""2025-01-23""",Delifruit Enterprise
2025-11-26,"""10.00"", ""CAD""",Sherbrooke,,eeyte,,,Montreal,wewqeq,"""Organisme"", ""2025-01-21""",Delifruit Enterprise
2025-11-26,"""10.00"", ""CAD""",Sherbrooke,,rwetewr,,,Montreal,ree,"""Organisme"", ""2013-01-12""",Delifruit Enterprise
2025-11-26,"""100.10"", ""CAD""",Sherbrooke,,Thord,,,Montreal,fruit,"""Ord"", ""2025-01-12""",Delifruit Enterprise
2025-11-26,"100.10, ""CAD""",Sherbrooke,,Rign,,,Montreal,fruit,"""Orga"", ""2025-10-21""",Delifruit Enterprise
2025-11-26,12.00,Sherbrooke,,TestReussi,,,Montreal,Barbier,Organisme - 2025-01-21,Delifruit Enterprise
2025-11-27,12.00,Sherbrooke,,Test2.0,,,Montreal,Regov,Revision displinaire de la sante - 2025-01-10,Delifruit Enterprise
2025-11-27,12.00,Sherbrooke,,Test3.0,,,Montreal,ert,Organisme medical - 2011-01-02,Delifruit Enterprise
2025-11-27,32.00,Sherbrooke,,test04,,,Montreal,brouillon,Organ - 2015-01-10,Delifruit Enterprise
2025-11-27,12.00,Sherbrooke,,Produit01,,,Montreal,fruit,Organisme des Nations unies -2019-12-01,Delifruit Enterprise
2025-11-27,23.21,Sherbrooke,,Bleusaille,,,Montreal,Rien,Organimes - 2025-01-21,Delifruit Enterprise
2025-11-27,42.33,Sherbrooke,,gerew,,,Montreal,423,Organisme - 2025-01-01,Delifruit Enterprise
2025-11-27,12.00,Sherbrooke,,robiolis,,,Montreal,rien,Opre - 2014-12-11,Delifruit Enterprise
2025-11-27,32.33,Sherbrooke,,errewr,,,Montreal,3234errew,Orgine - 2011-11-21,Delifruit Enterprise
2025-11-27,32.22,Sherbrooke,,erew,,,Montreal,rewr,Orga - 2019-01-10,Delifruit Enterprise
2025-11-27,34.34,Sherbrooke,,retrr,,,Montreal,2343ddr,Otr - 2032-12-12,Delifruit Enterprise
2025-11-27,324.43,Sherbrooke,,sadfghj,,,Montreal,2rewtghjkl,Ethi - 2019-10-11,Delifruit Enterprise
2025-11-27,12.12,Sherbrooke,,Ergo,,,Montreal,12dfjdf,Pernt - 2016-12-11,Delifruit Enterprise
2025-11-27,12.09,Sherbrooke,,23456iuytrewqq,,,Montreal,wertyukil,qwearsyu - 2010-10-11,Delifruit Enterprise
2025-11-27,34.99,Sherbrooke,,envoi,,,Montreal,5ewrtyu,dfskjl; - 2010-01-01,Delifruit Enterprise
2025-11-27,23.99,Sherbrooke,,FSDg,,,Montreal,asdfxcghjkl,qjsadgdhdjkda - 2025-01-01,Delifruit Enterprise
2025-11-27,21.11,Sherbrooke,,gdgasj,,,Montreal,rruytsgaa,shhgfxgdhfj - 2019-01-10,Delifruit Enterprise
2025-11-27,12.11,Sherbrooke,,uyuti,,,Montreal,ydyui,oooppp - 2017-11-01,Delifruit Enterprise
2025-11-27,45.99,Sherbrooke,,ytsh,,,Montreal,erthjknl;,sertyk - 2018-01-12,Delifruit Enterprise
2025-11-27,,Sherbrooke,,,,,Montreal,,,Delifruit Enterprise
2025-11-27,10.00,Sherbrooke,,sxa,,,Montreal,saaas,sdsadhgjakh,Delifruit Enterprise
2025-11-27,23.22,Sherbrooke,,e3fds,,,Montreal,345678jhgjk,wdfghyui - 2019-01-11,Delifruit Enterprise
2025-11-27,34.99,Sherbrooke,,jrsetyuiop[,,,Montreal,AERTYJL,sdfghjkl,Delifruit Enterprise
2025-11-27,23.98,Sherbrooke,,hgfdserfghjk,,,Montreal,fghjkl,gswhejrfgh - 2019-01-10,Delifruit Enterprise
2025-11-27,3456789,Sherbrooke,,poiuytre,,,Montreal,dfyuio,dfghjk - 2010-10-10,Delifruit Enterprise
2025-11-27,345678,Sherbrooke,,fghjkl,,,Montreal,wertyjkl,fsghjkl 2019-01-01,Delifruit Enterprise
2025-11-27,10.99,Sherbrooke,,trewertyul,,,Montreal,sdfghjkl,asdfjghk - 2010-10-01,Delifruit Enterprise
2025-11-27,4567,Sherbrooke,,ertop,,,Montreal,ertyui,dfghjk - 54678,Delifruit Enterprise
2025-11-27,4567,Sherbrooke,,ertop,,,Montreal,ertyui,dfghjk - 54678,Delifruit Enterprise
2025-11-27,,Sherbrooke,,,,,Montreal,,,Delifruit Enterprise
2025-11-27,,Sherbrooke,,sdfghjnk,,,Montreal,asdtfgyhjkl,,Delifruit Enterprise
2025-12-04,21.33,Sherbrooke,,Produti11223234234234,,,Montreal,erwrewr,fruytwiewiewewiew,Delifruit Enterprise
2025-12-04,122.22,Sherbrooke,,Peodrtew,,,Montreal,23234,wefdhjlilkjrgfgrhg,Delifruit Enterprise
2025-12-04,23.33,Sherbrooke,,Infors,,,Montreal,Twee,jrwhfsdfsfksfhs,Delifruit Enterprise
2025-12-04,323.23,Sherbrooke,,wrwrew,,,Montreal,34ewfdfd,3tefdfdvvdfdfdfdfffsf,Delifruit Enterprise
2025-12-04,232.322,Sherbrooke,,Pgegsdsds,,,Montreal,sfdfdsfds,fddfdfdsdsfsf,Delifruit Enterprise
2025-12-04,23.22,Sherbrooke,,ProduitVu,,,Montreal,wugreguys,dgfhgdffddh,Delifruit Enterprise
2025-12-04,21.21,Sherbrooke,,ewreewwqe,,,Montreal,321wqewqe,fsdgfjh,Delifruit Enterprise
2025-12-04,20.22,Sherbrooke,,Ergo,,,Montreal,51278,fdsigdfskddskf,Delifruit Enterprise
2025-12-04,23.00,Sherbrooke,,Perwfds,,,Montreal,reffddf,dfgdfgfdg,Delifruit Enterprise
2025-12-04,2131.11,Sherbrooke,,Produit1232ew23,,,Montreal,dytwqie,dhwiohwdhd,Delifruit Enterprise
2025-12-10,32.23,Sherbrooke,,Pqwre,,,Montreal,dsafsf,ofdfhdsfsfd,Delifruit Enterprise
2025-12-10,23.00,Sherbrooke,,egwsda,,,Montreal,dsaad,fdskgsajdad,Delifruit Enterprise
2025-12-10,23.00,Sherbrooke,,egwsda,,,Montreal,dsaad,fdskgsajdad,Delifruit Enterprise
2025-12-10,133.21,Sherbrooke,,ENvoi,,,Montreal,test,fhdsfgsjf,Delifruit Enterprise
2025-12-10,232.32,Sherbrooke,,werer,,,Montreal,wrwrwrew,32ethgsdfssdfs,Delifruit Enterprise
2025-12-10,32.32,Sherbrooke,,i3rye,,,Montreal,dugtrfuiwqs,fsafsdffdsssd,Delifruit Enterprise
2025-12-10,22.32,Sherbrooke,,dsfdfs,,,Montreal,sdd,fdsfsdfsdsd,Delifruit Enterprise
2025-12-10,22.32,Sherbrooke,❌ Erreur d'insertion : 1146 (42S02): Table 'bd_inv.Produits' doesn't exist,dsfdfs,,,Montreal,sdd,fdsfsdfsdsd,Delifruit Enterprise
2025-12-10,23.45,Sherbrooke,,Poeewe,,,Montreal,wdfsdsd,sfsjkfhksdlds,Delifruit Enterprise
2025-12-10,2342.22,Sherbrooke,,IUEwfdss,,,Montreal,sdsaa,dfsajskdgdf,Delifruit Enterprise
2025-12-10,29.10,Sherbrooke,,Pwewqew,,,Montreal,ewq,dsjfgdsf,Delifruit Enterprise
2025-12-10,21.23,Sherbrooke,,wuetwqeqwi,,,Montreal,wqewqe,fgfdfddg,Delifruit Enterprise
2025-12-11,22.11,Sherbrooke,,Allow,,,Montreal,ejdsad,sfkdsgsda,Delifruit Enterprise
2025-12-12,14.99,Sherbrooke,,Betterave,,,Montreal,confiture,"Organisme de la santé, 2019",Delifruit Enterprise
2025-12-15,"12,45",Sherbrooke,,Framboise,,,Montreal,fruit,"Organisme de la santé, 2019-10-11",Delifruit Enterprise
2025-12-15,11.32,Sherbrooke,,Framboise,,,Montreal,fruit,"Organisme de la santé, 2019-01-22",Delifruit Enterprise
2025-12-15,123.34,Sherbrooke,,Framboise,,,Montreal,123,"Organisme de la santé, 2019-01-10",Delifruit Enterprise
